tile,RUBCNL,x,y,path,../models/res18/res18_ciga_freeze/Res18_ep_29.pt,../models/res18/RUBCNL_Res18_freeze/Res18_1000_ep_29.pt,../models/res18/RUBCNL_Res18_random/Res18_1000_ep_29.pt,../models/res18/RUBCNL_Res18_ciga/Res18_ep_29.pt,../models/res18/RUBCNL_Res18_ciga_drop/Res18Dropout_ep_29.pt,../models/res18/res18_iced_e29.pt,../models/res18/res18_not_iced_e29.pt,../models/res50/RUBCNL_HLR_Res50slim/15072024_ep_39_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50slim_ice/15072024_ep_39_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50slim_optim_ice/RUBCNL_HLR_Res50slim_optim_ice15072024_ep_26_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50_Drop/24072024_ep_29_lr_0.0005resnet.pt,../remote_models/res50/RUBCNL_Res50/MyNet2_ep_29.pt,../models/res50/RUBCNL_Res50_random/Res50_1000_ep_29.pt,../models/res50/RUBCNL_Res50_freeze/MyNet2_ep_29.pt,../models/res50/RUBCNL_Res50_drop_freeze/Res50Dropout_ep_29.pt,../models/vgg13/dropout/VGG13_Dropout_ep_29.pt,../models/vgg13/base_model/VGG13_ep_29.pt,../models/vgg13/random_weights/VGG13_ep_29.pt
p007_0_0.tiff,0.1904260424134580,78,78,../../Training_Data/p007/Tiles_156/p007_0_0.tiff,-0.0916798859834671,-0.2062760889530180,-0.6537197828292850,0.1560861319303510,-0.1632556617259980,-0.5689321160316470,-0.2318763434886930,0.2447690218687060,-0.1591339111328130,-0.2412004768848420,-0.5533828735351560,0.3025707304477690,-0.5811347365379330,-0.4111844301223760,-0.329349011182785,-0.2111055999994280,0.0231290198862552,-0.009898007847368720
p007_2_0.tiff,-0.871550429201091,390,78,../../Training_Data/p007/Tiles_156/p007_2_0.tiff,-0.6116321682929990,-0.3072519898414610,-0.5088410973548890,-0.5488049983978270,-0.2422073632478710,-0.562325119972229,-0.8838562369346620,-0.8657022714614870,-0.0334703922271728,-0.0433381125330925,-0.6590479612350460,-1.041084051132200,-0.5227524042129520,-0.1833308339118960,-0.1259195506572720,-0.2971297204494480,0.0210553482174873,-0.021528463810682300
p007_3_0.tiff,-0.871550429201091,546,78,../../Training_Data/p007/Tiles_156/p007_3_0.tiff,-0.3336530923843380,-0.218990221619606,-0.502690851688385,-0.7825930714607240,-0.3040895760059360,-0.6318591833114620,-0.8391157984733580,-0.9565661549568180,-0.9913558959960940,-0.9669074416160580,-0.5673885345458980,-1.115018606185910,-0.8505136966705320,-0.5525386333465580,-0.3103451728820800,-0.221764251589775,0.030207872390747,-0.019724488258361800
p007_4_0.tiff,-0.871550429201091,702,78,../../Training_Data/p007/Tiles_156/p007_4_0.tiff,-0.2722227871418000,-0.0192717555910348,-0.4712794125080110,-0.7100112438201900,-0.3895155191421510,-0.3243581652641300,-0.9284636378288270,-0.9522198438644410,-0.4111502468585970,-0.3257198333740230,-0.2413082420825960,-1.046698808670040,-0.6362529993057250,-0.3750497102737430,-0.1502192914485930,-0.3199202418327330,0.0212123245000839,-0.014318867586553100
p007_5_0.tiff,-0.871550429201091,858,78,../../Training_Data/p007/Tiles_156/p007_5_0.tiff,-0.2860642671585080,-0.1350525319576260,-0.3391615152359010,-0.6680526733398440,-0.2387800365686420,-0.3428552150726320,-0.7453903555870060,-0.8484798073768620,-0.5627561807632450,-0.4926255643367770,-0.2017832845449450,-0.9926939010620120,-0.2424784451723100,-0.6953206062316900,-0.2320707291364670,-0.2123513370752330,0.0170277375727891,-0.014824609272182000
p007_6_0.tiff,-0.871550429201091,1014,78,../../Training_Data/p007/Tiles_156/p007_6_0.tiff,-0.23835389316082,-0.1818942129611970,-0.3312883079051970,-0.7611674666404720,-0.3265033662319180,-0.3067585229873660,-0.7137348651885990,-0.9692237973213200,-0.4231682121753690,-0.4876889884471890,-0.0323650538921356,-1.0424370765686000,-0.3622310757637020,-0.6407719254493710,-0.3165685534477230,-0.0552263930439949,0.0167445018887519,-0.016493871808052100
p007_7_0.tiff,1.255012659126360,1170,78,../../Training_Data/p007/Tiles_156/p007_7_0.tiff,-0.3262510299682620,-0.7159700989723210,1.364250659942630,1.6190413236618000,0.6829125881195070,0.0914474576711654,1.580532431602480,1.268584966659550,0.196586325764656,0.1791898608207700,-0.2627373933792110,1.3386423587799100,2.0112929344177200,0.4146153926849370,0.1314178258180620,-0.072721742093563,0.0218883268535137,-0.01904333010315900
p007_8_0.tiff,0.1904260424134580,1326,78,../../Training_Data/p007/Tiles_156/p007_8_0.tiff,-0.3785563707351680,-0.438728004693985,0.127162754535675,0.5264042615890500,0.0774542540311813,0.0358016937971115,0.5933005213737490,0.1233555227518080,0.0087648313492536,-0.0917369648814201,-0.194450095295906,0.4641379415988920,0.2282421141862870,-0.0753341987729072,-0.1152440458536150,-0.2784723043441770,0.0303210243582725,-0.024724837392568600
p007_9_0.tiff,0.8129554678457500,1482,78,../../Training_Data/p007/Tiles_156/p007_9_0.tiff,0.3429993391036990,-0.6681562066078190,0.8589261174201970,1.280057668685910,0.5205621123313900,-0.1478614211082460,1.3541076183319100,0.6478498578071590,-0.3215198814868930,-0.3620609045028690,-0.2800189256668090,0.8029505610466000,1.2946224212646500,0.2236344516277310,-0.1536142379045490,-0.2373330295085910,0.0179486237466335,-0.003712207078933720
p007_10_0.tiff,2.50210900529625,1638,78,../../Training_Data/p007/Tiles_156/p007_10_0.tiff,1.2942874431610100,-1.0889580249786400,2.3806471824646000,2.527475595474240,0.9589289426803590,1.9159735441207900,2.5649731159210200,2.5528042316436800,0.1258089542388920,0.1010921970009800,-0.2525233924388890,2.5727949142456100,2.163275718688970,0.6631410121917730,0.101761907339096,-0.261473536491394,0.0232937987893819,-0.016266733407974200
