tile,RUBCNL,x,y,path,../models/res18/RUBCNL_Res18/Res18_1000_ep_29.pt,../models/res18/res18_ciga_freeze/Res18_ep_29.pt,../models/res18/RUBCNL_Res18_freeze/Res18_1000_ep_29.pt,../models/res18/RUBCNL_Res18_random/Res18_1000_ep_29.pt,../models/res18/RUBCNL_Res18_ciga/Res18_ep_29.pt,../models/res18/RUBCNL_Res18_ciga_drop/Res18Dropout_ep_29.pt,../models/res18/res18_iced_e29.pt,../models/res18/res18_not_iced_e29.pt,../models/res50/RUBCNL_HLR_Res50slim/15072024_ep_39_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50slim_ice/15072024_ep_39_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50slim_optim_ice/RUBCNL_HLR_Res50slim_optim_ice15072024_ep_26_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50_Drop/24072024_ep_29_lr_0.0005resnet.pt,../remote_models/res50/RUBCNL_Res50/MyNet2_ep_29.pt,../models/res50/RUBCNL_Res50_random/Res50_1000_ep_29.pt,../models/res50/RUBCNL_Res50_freeze/MyNet2_ep_29.pt,../models/res50/RUBCNL_Res50_drop_freeze/Res50Dropout_ep_29.pt,../models/vgg13/dropout/VGG13_Dropout_ep_29.pt,../models/vgg13/base_model/VGG13_ep_29.pt,../models/vgg13/random_weights/VGG13_ep_29.pt
p008_0_0.tiff,-0.72998047,78,78,../../Test_Data/p008/Tiles_156/p008_0_0.tiff,-0.0345760285854339,-0.1596504002809524,0.051759123802185,-0.6141409873962402,-0.2533317506313324,-0.2963816821575165,-0.5316329598426819,-0.6645195484161377,-0.7303965091705322,-0.2581249177455902,-0.2317146211862564,-0.4372463524341583,-0.3208240866661072,-1.038238286972046,-0.2267027497291565,-0.2264084219932556,-0.1128748506307601,0.0179623886942863,-0.012064853683114052
p008_1_0.tiff,-0.72998047,234,78,../../Test_Data/p008/Tiles_156/p008_1_0.tiff,0.0768296495079994,-0.7860129475593567,-0.325195848941803,-0.7417320013046265,-1.0293378829956057,-0.4567088186740875,-0.629595160484314,-0.752453625202179,-0.2233445197343826,-0.403683453798294,-0.3237626850605011,-0.5284224152565002,-0.73923659324646,-1.0931466817855835,-0.4842011332511902,-0.1767840087413787,0.0189628358930349,0.0168427284806966,-0.01938547194004059
p008_2_0.tiff,-0.72998047,390,78,../../Test_Data/p008/Tiles_156/p008_2_0.tiff,0.063319481909275,-0.7077678442001343,-0.3070217072963714,-0.2773537039756775,-0.3440740704536438,-0.3501579463481903,-0.5899592041969299,-0.2733123898506164,-0.6836922764778137,-0.6555669903755188,-0.6277475357055664,-0.3603749871253967,-1.0581269264221191,-0.4975410997867584,-0.4078965783119201,-0.1419639438390731,-0.1811910718679428,0.0296915024518966,-0.017101600766181946
p008_3_0.tiff,-0.72998047,546,78,../../Test_Data/p008/Tiles_156/p008_3_0.tiff,0.0363354980945587,-0.7582597136497498,-0.1236056536436081,-0.8940571546554565,-1.204797625541687,-0.4877448976039886,-0.6429167985916138,-1.1111637353897097,-0.9184774160385132,-0.7498970031738281,-0.7697779536247253,-0.2714288234710693,-0.6750971078872681,-1.0268162488937378,-0.4735101461410522,-0.2445647567510604,-0.4441080391407013,0.0221841763705015,-0.011285725980997086
p008_5_0.tiff,-0.72998047,858,78,../../Test_Data/p008/Tiles_156/p008_5_0.tiff,0.0486494526267051,-0.2811132371425628,-0.2547257542610168,-0.4610069692134857,-0.5131947994232178,-0.1795831471681594,-0.4518176317214966,-1.0004262924194336,-0.8596450090408325,-0.82886803150177,-0.8850278854370117,-0.672970712184906,-0.7971804141998291,-0.9224294424057008,-0.7269848585128784,-0.439894825220108,-0.6003106832504272,0.0298440884798765,-0.015547077171504498
p008_7_0.tiff,-0.72998047,1170,78,../../Test_Data/p008/Tiles_156/p008_7_0.tiff,0.0524267330765724,-0.4838497042655945,-0.2768078744411468,-0.5810826420783997,0.3184307217597961,-0.2472894042730331,-0.3773956298828125,-0.9109180569648744,-0.6531561613082886,-0.6241546273231506,-0.6550703048706055,-1.0684196949005127,-0.4825062453746795,-0.3717378973960876,-0.7243636846542358,-0.2367245554924011,-0.5034193396568298,0.028809767216444,-0.02451733872294426
p008_8_0.tiff,-0.72998047,1326,78,../../Test_Data/p008/Tiles_156/p008_8_0.tiff,0.036949522793293,-0.4153537452220917,-0.0964332073926925,-0.8194807767868042,-0.8952563405036926,-0.5015816688537598,-0.6944679617881775,-1.0591256618499756,-1.1290158033370972,-0.3398484289646148,-0.3666252493858337,-0.7336502075195312,0.0604889057576656,-0.9829192757606506,-0.5152149200439453,-0.3164378702640533,-0.2958082854747772,0.0250750910490751,-0.012087460607290268
p008_0_1.tiff,-0.72998047,78,234,../../Test_Data/p008/Tiles_156/p008_0_1.tiff,0.0029088705778121,-0.4596879482269287,-0.1218879073858261,-0.4812102019786834,-0.5811425447463989,-0.3958554565906524,-0.4628820419311523,-0.4856724143028259,0.0657907426357269,-0.9751781225204468,-0.9726377725601196,-0.2338881939649582,-0.462249755859375,-0.6231160163879395,-0.2814425528049469,-0.2067233771085739,-0.2146022170782089,0.0239381045103073,-0.01894082874059677
p008_1_1.tiff,-0.72998047,234,234,../../Test_Data/p008/Tiles_156/p008_1_1.tiff,-0.0341235995292663,-0.4166884124279022,0.0300022643059492,-0.6591494679450989,-0.8546465039253235,-0.2814554870128631,-0.6320556402206421,-0.6316598653793335,-0.9025135636329652,-0.6207388639450073,-0.5271084308624268,-0.6251615285873413,-0.4431284666061401,-0.7555406093597412,-0.6358397006988525,-0.4070699214935303,-0.2757714986801147,0.0307894237339496,-0.02065957896411419
p008_2_1.tiff,1.315302,390,234,../../Test_Data/p008/Tiles_156/p008_2_1.tiff,0.0440826192498207,-0.6865540146827698,-0.2613722383975982,-0.1101061999797821,-0.9797889590263368,-0.3763055503368377,-0.8324370384216309,-0.3743897676467895,-0.8896154165267944,-0.5351818203926086,-0.5197392106056213,-0.2338927984237671,-0.5829690098762512,0.1958145648241043,-0.0236553475260734,-0.0933733806014061,-0.255297988653183,0.0311806872487068,-0.014242907986044884
p008_3_1.tiff,-0.72998047,546,234,../../Test_Data/p008/Tiles_156/p008_3_1.tiff,0.0324377343058586,-0.7179668545722961,-0.4149587750434875,-0.4626225233078003,-0.9179417490959167,-0.4468108713626861,-0.5884275436401367,-0.6719660758972168,-0.6572428941726685,-0.2430070489645004,-0.6411492824554443,-0.0496651157736778,-0.8405940532684326,-1.075674533843994,-0.4971792697906494,-0.3369928002357483,0.1063073277473449,0.0218896716833114,-0.02308710850775242
p008_4_1.tiff,-0.72998047,702,234,../../Test_Data/p008/Tiles_156/p008_4_1.tiff,0.037288025021553,-0.8842607140541077,-0.0828287526965141,-0.898679792881012,-1.0199984312057495,-0.352530837059021,-0.9782499074935912,-1.051767110824585,-0.6679836511611938,-0.2865329384803772,-0.2480972409248352,-0.8255442976951599,-0.7785066962242126,-0.8327808380126953,-0.926835298538208,-0.5444286465644836,-0.2433524578809738,0.0275308266282081,-0.01856185495853424
